Test File,Processes,Run,Computation Time (s),Matches Sequential
input100D2.inp,2,1,28.486016,Yes
input100D2.inp,2,2,29.28766,Yes
input100D2.inp,2,3,28.428126,Yes
input100D2.inp,2,4,28.209621,Yes
input100D2.inp,2,5,28.225683,Yes
input100D2.inp,4,1,14.429526,Yes
input100D2.inp,4,2,14.410921,Yes
input100D2.inp,4,3,14.538388,Yes
input100D2.inp,4,4,14.552455,Yes
input100D2.inp,4,5,14.682294,Yes
input100D2.inp,8,1,7.389696,Yes
input100D2.inp,8,2,7.558666,Yes
input100D2.inp,8,3,7.649996,Yes
input100D2.inp,8,4,8.029899,Yes
input100D2.inp,8,5,7.675365,Yes
input100D2.inp,16,1,4.062588,Yes
input100D2.inp,16,2,3.853295,Yes
input100D2.inp,16,3,4.073446,Yes
input100D2.inp,16,4,3.878679,Yes
input100D2.inp,16,5,3.870777,Yes
input100D2.inp,32,1,3.106095,Yes
input100D2.inp,32,2,2.30727,Yes
input100D2.inp,32,3,2.305322,Yes
input100D2.inp,32,4,2.361655,Yes
input100D2.inp,32,5,2.441935,Yes
input100D2.inp,64,1,2.195181,Yes
input100D2.inp,64,2,2.248195,Yes
input100D2.inp,64,3,2.195711,Yes
input100D2.inp,64,4,2.107113,Yes
input100D2.inp,64,5,2.361187,Yes
input100D.inp,2,1,0.530159,Yes
input100D.inp,2,2,0.52989,Yes
input100D.inp,2,3,0.532139,Yes
input100D.inp,2,4,0.530289,Yes
input100D.inp,2,5,0.530536,Yes
input100D.inp,4,1,0.279623,Yes
input100D.inp,4,2,0.357531,Yes
input100D.inp,4,3,0.292863,Yes
input100D.inp,4,4,0.292193,Yes
input100D.inp,4,5,0.286381,Yes
input100D.inp,8,1,0.177422,Yes
input100D.inp,8,2,0.1769,Yes
input100D.inp,8,3,0.175542,Yes
input100D.inp,8,4,0.170908,Yes
input100D.inp,8,5,0.164342,Yes
input100D.inp,16,1,0.143259,Yes
input100D.inp,16,2,0.126949,Yes
input100D.inp,16,3,0.135772,Yes
input100D.inp,16,4,0.117007,Yes
input100D.inp,16,5,0.137464,Yes
input100D.inp,32,1,0.279066,Yes
input100D.inp,32,2,0.296942,Yes
input100D.inp,32,3,0.265796,Yes
input100D.inp,32,4,0.333676,Yes
input100D.inp,32,5,0.382059,Yes
input100D.inp,64,1,0.440505,Yes
input100D.inp,64,2,0.418359,Yes
input100D.inp,64,3,0.348488,Yes
input100D.inp,64,4,0.454297,Yes
input100D.inp,64,5,0.675347,Yes
100k_100.inp,2,1,10.300048,Yes
100k_100.inp,2,2,10.236095,Yes
100k_100.inp,2,3,10.237866,Yes
100k_100.inp,2,4,10.215188,Yes
100k_100.inp,2,5,10.23438,Yes
100k_100.inp,4,1,5.570541,Yes
100k_100.inp,4,2,5.608964,Yes
100k_100.inp,4,3,5.467037,Yes
100k_100.inp,4,4,5.512651,Yes
100k_100.inp,4,5,5.33525,Yes
100k_100.inp,8,1,2.711867,Yes
100k_100.inp,8,2,2.769117,Yes
100k_100.inp,8,3,2.875508,Yes
100k_100.inp,8,4,2.732418,Yes
100k_100.inp,8,5,2.742282,Yes
100k_100.inp,16,1,1.41251,Yes
100k_100.inp,16,2,1.401544,Yes
100k_100.inp,16,3,1.419878,Yes
100k_100.inp,16,4,1.490452,Yes
100k_100.inp,16,5,1.412422,Yes
100k_100.inp,32,1,0.981512,Yes
100k_100.inp,32,2,1.102559,Yes
100k_100.inp,32,3,1.075498,Yes
100k_100.inp,32,4,1.118248,Yes
100k_100.inp,32,5,1.11265,Yes
100k_100.inp,64,1,1.126013,Yes
100k_100.inp,64,2,1.12062,Yes
100k_100.inp,64,3,1.300016,Yes
100k_100.inp,64,4,1.299191,Yes
100k_100.inp,64,5,1.104166,Yes
200k_100.inp,2,1,23.173427,Yes
200k_100.inp,2,2,23.22703,Yes
200k_100.inp,2,3,23.161641,Yes
200k_100.inp,2,4,23.124016,Yes
200k_100.inp,2,5,23.152291,Yes
200k_100.inp,4,1,11.675524,Yes
200k_100.inp,4,2,11.665464,Yes
200k_100.inp,4,3,11.633246,Yes
200k_100.inp,4,4,11.652812,Yes
200k_100.inp,4,5,11.66638,Yes
200k_100.inp,8,1,5.975347,Yes
200k_100.inp,8,2,5.951161,Yes
200k_100.inp,8,3,5.978447,Yes
200k_100.inp,8,4,5.980715,Yes
200k_100.inp,8,5,6.07444,Yes
200k_100.inp,16,1,3.184186,Yes
200k_100.inp,16,2,3.192221,Yes
200k_100.inp,16,3,3.246298,Yes
200k_100.inp,16,4,3.172343,Yes
200k_100.inp,16,5,3.170558,Yes
