Test File,Processes,Min,Q1,Median,Q3,Max,Average,Std Dev,Matches Sequential
input100D2.inp,2,28.2096,28.2177,28.4281,28.8868,29.2877,28.5274,0.3954,Yes
input100D2.inp,4,14.4109,14.4202,14.5384,14.6174,14.6823,14.5227,0.0978,Yes
input100D2.inp,8,7.3897,7.4742,7.6500,7.8526,8.0299,7.6607,0.2100,Yes
input100D2.inp,16,3.8533,3.8620,3.8787,4.0680,4.0734,3.9478,0.0986,Yes
input100D2.inp,32,2.3053,2.3063,2.3617,2.7740,3.1061,2.5045,0.3049,Yes
input100D2.inp,64,2.1071,2.1511,2.1957,2.3047,2.3612,2.2215,0.0833,Yes
input100D.inp,2,0.5299,0.5300,0.5303,0.5313,0.5321,0.5306,0.0008,Yes
input100D.inp,4,0.2796,0.2830,0.2922,0.3252,0.3575,0.3017,0.0283,Yes
input100D.inp,8,0.1643,0.1676,0.1755,0.1772,0.1774,0.1730,0.0049,Yes
input100D.inp,16,0.1170,0.1220,0.1358,0.1404,0.1433,0.1321,0.0092,Yes
input100D.inp,32,0.2658,0.2724,0.2969,0.3579,0.3821,0.3115,0.0420,Yes
input100D.inp,64,0.3485,0.3834,0.4405,0.5648,0.6753,0.4674,0.1102,Yes
100k_100.inp,2,10.2152,10.2248,10.2361,10.2690,10.3000,10.2447,0.0288,Yes
100k_100.inp,4,5.3353,5.4011,5.5127,5.5898,5.6090,5.4989,0.0951,Yes
100k_100.inp,8,2.7119,2.7221,2.7423,2.8223,2.8755,2.7662,0.0577,Yes
100k_100.inp,16,1.4015,1.4070,1.4125,1.4552,1.4905,1.4274,0.0321,Yes
100k_100.inp,32,0.9815,1.0285,1.1026,1.1154,1.1182,1.0781,0.0505,Yes
100k_100.inp,64,1.1042,1.1124,1.1260,1.2996,1.3000,1.1900,0.0898,Yes
200k_100.inp,2,23.1240,23.1382,23.1616,23.2002,23.2270,23.1677,0.0339,Yes
200k_100.inp,4,11.6332,11.6430,11.6655,11.6710,11.6755,11.6587,0.0146,Yes
200k_100.inp,8,5.9512,5.9633,5.9784,6.0276,6.0744,5.9920,0.0426,Yes
200k_100.inp,16,3.1706,3.1715,3.1842,3.2193,3.2463,3.1931,0.0277,Yes
200k_100.inp,32,1.8385,1.8849,1.9378,1.9867,2.0144,1.9362,0.0569,Yes
200k_100.inp,64,1.5398,1.5530,1.6350,1.8009,1.8496,1.6686,0.1166,Yes
400k_100.inp,2,41.8374,41.8738,44.0267,44.1679,44.1987,43.2220,1.1025,Yes
400k_100.inp,4,21.6017,21.6326,21.9875,22.5343,22.7455,22.0643,0.4270,Yes
400k_100.inp,8,10.7742,10.9800,11.2793,11.5367,11.6676,11.2625,0.2930,Yes
400k_100.inp,16,5.6665,5.7204,5.8110,5.9133,5.9555,5.8157,0.0966,Yes
400k_100.inp,32,3.2018,3.2155,3.3341,3.9179,4.4119,3.5202,0.4528,Yes
400k_100.inp,64,2.1690,2.1954,2.3752,2.7064,2.8652,2.4358,0.2520,Yes
800k_100.inp,2,90.2585,90.2954,91.6575,92.1724,92.2345,91.3186,0.8575,Yes
800k_100.inp,4,46.1272,46.5465,47.2607,47.3163,47.3472,46.9973,0.4545,Yes
800k_100.inp,8,23.9114,23.9191,23.9510,24.2877,24.3151,24.0729,0.1767,Yes
800k_100.inp,16,12.2096,12.2447,12.3249,12.3870,12.4214,12.3176,0.0709,Yes
800k_100.inp,32,6.4960,6.4969,6.4983,6.5247,6.5439,6.5083,0.0181,Yes
800k_100.inp,64,4.0849,4.1178,4.2494,4.3913,4.4697,4.2535,0.1336,Yes
1600k_100.inp,2,137.3049,137.3671,137.4416,140.6000,143.4566,138.6752,2.3950,Yes
1600k_100.inp,4,69.5233,69.6810,69.8729,70.7520,71.4830,70.1478,0.6870,Yes
1600k_100.inp,8,35.2319,35.2446,35.4988,35.7595,35.9354,35.5014,0.2559,Yes
1600k_100.inp,16,17.8954,17.9434,18.0087,18.1041,18.1824,18.0207,0.0926,Yes
1600k_100.inp,32,9.6564,9.7676,9.9101,10.0741,10.1548,9.9187,0.1624,Yes
1600k_100.inp,64,5.5447,5.6244,5.7496,5.8330,5.8560,5.7329,0.1074,Yes
