Test File,Processes,Threads,Run,Computation Time (s),Matches Sequential
100k_100.inp,2,2,1,5.147033,Yes
100k_100.inp,2,2,2,5.160485,Yes
100k_100.inp,2,2,3,5.126926,Yes
100k_100.inp,2,2,4,5.114979,Yes
100k_100.inp,2,2,5,5.125048,Yes
100k_100.inp,2,4,1,7.981145,Yes
100k_100.inp,2,4,2,2.573191,Yes
100k_100.inp,2,4,3,2.573419,Yes
100k_100.inp,2,4,4,2.569742,Yes
100k_100.inp,2,4,5,2.576432,Yes
100k_100.inp,2,8,1,1.294076,Yes
100k_100.inp,2,8,2,1.298054,Yes
100k_100.inp,2,8,3,1.300766,Yes
100k_100.inp,2,8,4,1.292615,Yes
100k_100.inp,2,8,5,1.289577,Yes
100k_100.inp,2,16,1,0.703407,Yes
100k_100.inp,2,16,2,0.671886,Yes
100k_100.inp,2,16,3,0.71333,Yes
100k_100.inp,2,16,4,0.687357,Yes
100k_100.inp,2,16,5,0.678129,Yes
100k_100.inp,2,32,1,0.763706,Yes
100k_100.inp,2,32,2,0.745062,Yes
100k_100.inp,2,32,3,0.751666,Yes
100k_100.inp,2,32,4,0.753715,Yes
100k_100.inp,2,32,5,0.752634,Yes
100k_100.inp,4,2,1,2.572255,Yes
100k_100.inp,4,2,2,3.712075,Yes
100k_100.inp,4,2,3,2.565793,Yes
100k_100.inp,4,2,4,2.565782,Yes
100k_100.inp,4,2,5,2.566565,Yes
100k_100.inp,4,4,1,1.294046,Yes
100k_100.inp,4,4,2,1.292618,Yes
100k_100.inp,4,4,3,1.291604,Yes
100k_100.inp,4,4,4,1.297229,Yes
100k_100.inp,4,4,5,1.291771,Yes
100k_100.inp,4,8,1,0.663982,Yes
100k_100.inp,4,8,2,0.66651,Yes
100k_100.inp,4,8,3,0.661029,Yes
100k_100.inp,4,8,4,0.663621,Yes
100k_100.inp,4,8,5,0.666871,Yes
100k_100.inp,4,16,1,0.370774,Yes
100k_100.inp,4,16,2,0.362849,Yes
100k_100.inp,4,16,3,0.36908,Yes
100k_100.inp,4,16,4,0.387011,Yes
100k_100.inp,4,16,5,0.371664,Yes
100k_100.inp,4,32,1,0.429735,Yes
100k_100.inp,4,32,2,0.426084,Yes
100k_100.inp,4,32,3,0.436057,Yes
100k_100.inp,4,32,4,0.42319,Yes
100k_100.inp,4,32,5,0.429125,Yes
100k_100.inp,8,2,1,1.583433,Yes
100k_100.inp,8,2,2,1.580902,Yes
100k_100.inp,8,2,3,1.571384,Yes
100k_100.inp,8,2,4,1.546938,Yes
100k_100.inp,8,2,5,1.702472,Yes
100k_100.inp,8,4,1,0.84505,Yes
100k_100.inp,8,4,2,0.932801,Yes
100k_100.inp,8,4,3,0.90687,Yes
