Test File;Processes;Threads;Min;Q1;Median;Q3;Max;Average;Std Dev;Matches Sequential
input100D2.inp;2;2;13.9988;14.0409;14.1228;14.1736;14.1925;14.1104;0.0664;Yes
input100D2.inp;2;4;7.0288;7.0290;7.1312;7.1981;7.2258;7.1171;0.0779;Yes
input100D2.inp;2;8;3.7719;3.7965;3.9524;4.0085;4.0164;3.9125;0.0982;Yes
input100D2.inp;2;16;2.2346;2.2561;2.2990;2.3308;2.3535;2.2946;0.0389;Yes
input100D2.inp;2;32;1.2714;1.2793;1.3194;1.3684;1.3847;1.3230;0.0415;Yes
input100D2.inp;4;2;7.0227;7.0451;7.7163;7.8380;7.8580;7.4965;0.3717;Yes
input100D2.inp;4;4;3.6396;3.8495;4.2783;4.3441;4.3624;4.1331;0.2682;Yes
input100D2.inp;4;8;1.9459;2.0149;2.4169;2.4733;2.4923;2.2786;0.2210;Yes
input100D2.inp;4;16;1.1638;1.1740;1.1925;1.2087;1.2088;1.1916;0.0168;Yes
input100D2.inp;4;32;0.7041;0.7187;0.7469;0.7496;0.7520;0.7367;0.0175;Yes
input100D2.inp;8;2;3.9009;3.9095;4.0111;4.1100;4.1400;4.0100;0.0918;Yes
input100D2.inp;8;4;1.8965;1.9450;2.1215;2.1733;2.1994;2.0716;0.1107;Yes
input100D2.inp;8;8;1.0777;1.0918;1.1147;1.1454;1.1528;1.1178;0.0260;Yes
input100D2.inp;8;16;0.6369;0.6383;0.6796;0.6986;0.7008;0.6707;0.0274;Yes
input100D2.inp;8;32;0.5259;0.5439;0.5903;0.5995;0.6064;0.5754;0.0287;Yes
input100D.inp;2;2;0.2655;0.2657;0.2672;0.2700;0.2704;0.2677;0.0020;Yes
input100D.inp;2;4;0.1425;0.1430;0.1562;0.1636;0.1694;0.1539;0.0100;Yes
input100D.inp;2;8;0.0884;0.0918;0.0961;0.0997;0.1002;0.0958;0.0042;Yes
input100D.inp;2;16;0.0531;0.0531;0.0586;0.0658;0.0660;0.0593;0.0057;Yes
input100D.inp;2;32;0.0368;0.0405;0.0527;0.0608;0.0667;0.0510;0.0101;Yes
input100D.inp;4;2;0.1480;0.1497;0.1601;0.1666;0.1687;0.1585;0.0078;Yes
input100D.inp;4;4;0.0916;0.0927;0.0948;0.0997;0.1000;0.0959;0.0032;Yes
input100D.inp;4;8;0.0575;0.0579;0.0615;0.0647;0.0674;0.0613;0.0035;Yes
input100D.inp;4;16;0.0429;0.0433;0.0493;0.0564;0.0618;0.0498;0.0068;Yes
input100D.inp;4;32;0.0414;0.0481;0.0817;0.0997;0.1146;0.0755;0.0255;Yes
input100D.inp;8;2;0.0827;0.0855;0.0891;0.0916;0.0919;0.0887;0.0033;Yes
input100D.inp;8;4;0.0602;0.0610;0.0629;0.0666;0.0679;0.0636;0.0027;Yes
input100D.inp;8;8;0.0462;0.0471;0.0502;0.0558;0.0579;0.0512;0.0042;Yes
input100D.inp;8;16;0.0429;0.0436;0.0450;0.0637;0.0694;0.0519;0.0103;Yes
input100D.inp;8;32;0.0725;0.0782;0.0840;0.1559;0.2147;0.1104;0.0527;Yes
input10D.inp;2;2;0.0058;0.0058;0.0058;0.0058;0.0059;0.0058;0.0000;Yes
input10D.inp;2;4;0.0049;0.0049;0.0050;0.0057;0.0057;0.0052;0.0004;Yes
input10D.inp;2;8;0.0048;0.0048;0.0082;0.0103;0.0117;0.0077;0.0026;Yes
input10D.inp;2;16;0.0100;0.0189;0.0286;0.0342;0.0391;0.0270;0.0094;Yes
input10D.inp;2;32;0.0408;0.0480;0.0556;0.0565;0.0568;0.0529;0.0061;Yes
input10D.inp;4;2;0.0071;0.0071;0.0072;0.0074;0.0076;0.0072;0.0002;Yes
input10D.inp;4;4;0.0066;0.0067;0.0070;0.0071;0.0073;0.0069;0.0002;Yes
input10D.inp;4;8;0.0094;0.0096;0.0114;0.0245;0.0250;0.0159;0.0071;Yes
input10D.inp;4;16;0.0313;0.0325;0.0346;0.0521;0.0527;0.0408;0.0093;Yes
input10D.inp;4;32;0.0524;0.0528;0.0537;0.0591;0.0617;0.0555;0.0034;Yes
input10D.inp;8;2;0.0085;0.0086;0.0089;0.0091;0.0093;0.0089;0.0002;Yes
input10D.inp;8;4;0.0083;0.0084;0.0088;0.0092;0.0094;0.0088;0.0004;Yes
input10D.inp;8;8;0.0115;0.0119;0.0166;0.0271;0.0283;0.0189;0.0069;Yes
input10D.inp;8;16;0.0315;0.0323;0.0363;0.0473;0.0505;0.0391;0.0072;Yes
input10D.inp;8;32;0.0438;0.0466;0.0523;0.0641;0.0742;0.0548;0.0103;Yes
input20D.inp;2;2;0.0942;0.0943;0.0944;0.0950;0.0950;0.0946;0.0003;Yes
input20D.inp;2;4;0.0514;0.0515;0.0516;0.0610;0.0701;0.0554;0.0074;Yes
input20D.inp;2;8;0.0360;0.0361;0.0380;0.0465;0.0536;0.0406;0.0066;Yes
input20D.inp;2;16;0.0285;0.0291;0.0327;0.0445;0.0549;0.0360;0.0097;Yes
input20D.inp;2;32;0.0262;0.0342;0.0469;0.0709;0.0827;0.0514;0.0188;Yes
input20D.inp;4;2;0.0568;0.0569;0.0573;0.0614;0.0654;0.0588;0.0033;Yes
input20D.inp;4;4;0.0363;0.0378;0.0406;0.0413;0.0416;0.0398;0.0019;Yes
input20D.inp;4;8;0.0292;0.0292;0.0312;0.0365;0.0415;0.0326;0.0046;Yes
input20D.inp;4;16;0.0314;0.0344;0.0390;0.0542;0.0615;0.0433;0.0104;Yes
